date,mean_date_no,original_date_no,date_no,sample_id,fish_prey_stage,sample_mg_dm,sample_mg_dm01,site,fish_species,prey_stage
2019-06-13,31.691419141914192,10,-21.691419141914192,64,Ameiurus melas_p,0,0.01,little bridge,Ameiurus melas,p
2019-06-13,31.691419141914192,10,-21.691419141914192,65,Pimephales promelas_a,2.541698796479974,2.551698796479974,little bridge,Pimephales promelas,a
2019-06-13,31.691419141914192,10,-21.691419141914192,65,Pimephales promelas_l,0.641579774514346,0.651579774514346,little bridge,Pimephales promelas,l
2019-06-13,31.691419141914192,10,-21.691419141914192,65,Pimephales promelas_p,0,0.01,little bridge,Pimephales promelas,p
2019-06-13,31.691419141914192,10,-21.691419141914192,66,Cyprinella lutrensis_a,0,0.01,burbank,Cyprinella lutrensis,a
2019-06-13,31.691419141914192,10,-21.691419141914192,66,Cyprinella lutrensis_l,0,0.01,burbank,Cyprinella lutrensis,l
2019-06-13,31.691419141914192,10,-21.691419141914192,66,Cyprinella lutrensis_p,0,0.01,burbank,Cyprinella lutrensis,p
2019-06-13,31.691419141914192,10,-21.691419141914192,67,Ameiurus melas_a,0,0.01,little bridge,Ameiurus melas,a
2019-06-13,31.691419141914192,10,-21.691419141914192,67,Ameiurus melas_l,0.641579774514346,0.651579774514346,little bridge,Ameiurus melas,l
2019-06-13,31.691419141914192,10,-21.691419141914192,67,Ameiurus melas_p,0,0.01,little bridge,Ameiurus melas,p
2019-06-13,31.691419141914192,10,-21.691419141914192,68,Etheostoma nigrum_a,0,0.01,little bridge,Etheostoma nigrum,a
2019-06-13,31.691419141914192,10,-21.691419141914192,68,Etheostoma nigrum_l,171.94337956984472,171.9533795698447,little bridge,Etheostoma nigrum,l
2019-06-13,31.691419141914192,10,-21.691419141914192,68,Etheostoma nigrum_p,0,0.01,little bridge,Etheostoma nigrum,p
2019-06-14,31.691419141914192,11,-20.691419141914192,69,Notropis stramineus_a,0,0.01,spirit mound,Notropis stramineus,a
2019-06-14,31.691419141914192,11,-20.691419141914192,69,Notropis stramineus_l,0,0.01,spirit mound,Notropis stramineus,l
2019-06-14,31.691419141914192,11,-20.691419141914192,69,Notropis stramineus_p,0,0.01,spirit mound,Notropis stramineus,p
2019-06-21,31.691419141914192,18,-13.691419141914192,70,Ameiurus melas_a,0,0.01,spirit mound,Ameiurus melas,a
